file,expected,algorithm,threads,trial,result,wall_s,read_s,parse_s,build_s,close_s,check_s,dtor_s,error
arrays-ops.0.ground.smt2,,nelson_topo_iter,1,0,unsat,0.073603,0.031260,0.001510,0.002640,0.000120,0.000000,0.000020,
arrays-ops.0.ground.smt2,,par_async,1,0,unsat,0.008819,0.000360,0.001470,0.002390,0.000210,0.000000,0.000020,
arrays-ops.0.ground.smt2,,par_async,2,0,unsat,0.008571,0.000250,0.001450,0.002510,0.000300,0.000000,0.000040,
arrays-ops.0.ground.smt2,,par_async,4,0,unsat,0.009007,0.000240,0.001460,0.002630,0.000630,0.000000,0.000040,
arrays-ops.0.ground.smt2,,par_async,8,0,unsat,0.009913,0.000260,0.001490,0.003010,0.000600,0.000000,0.000060,
arrays-ops.0.ground.smt2,,par_async,16,0,unsat,0.010463,0.000250,0.001520,0.003630,0.000760,0.000000,0.000060,
arrays-ops.0.ground.smt2,,par_async,32,0,unsat,0.011396,0.000200,0.001460,0.004810,0.000920,0.000000,0.000070,
arrays-ops.0.ground.smt2,,par_async,64,0,unsat,0.015690,0.000210,0.001450,0.006880,0.001440,0.000000,0.000710,
arrays-ops.0.ground.smt2,,par_async,128,0,unsat,0.029129,0.000240,0.001440,0.010660,0.006360,0.000000,0.001980,
arrays-ops.1.ground.smt2,,nelson_topo_iter,1,0,unsat,0.024447,0.018840,0.000690,0.001970,0.000080,0.000000,0.000010,
arrays-ops.1.ground.smt2,,par_async,1,0,unsat,0.006072,0.000310,0.000620,0.001710,0.000130,0.000000,0.000010,
arrays-ops.1.ground.smt2,,par_async,2,0,unsat,0.006486,0.000150,0.000640,0.001760,0.000160,0.000000,0.000030,
arrays-ops.1.ground.smt2,,par_async,4,0,unsat,0.005800,0.000130,0.000630,0.001890,0.000190,0.000000,0.000090,
arrays-ops.1.ground.smt2,,par_async,8,0,unsat,0.006501,0.000150,0.000650,0.002230,0.000220,0.000000,0.000190,
arrays-ops.1.ground.smt2,,par_async,16,0,unsat,0.006896,0.000120,0.000640,0.002760,0.000370,0.000000,0.000040,
