family,n,d,classes,merges,algorithm,trial,parlay_threads,dnc_cutoff,wallclock_ms
cube,5,2,508,5,nelson_simple,0,1,16,0.0344
cube,5,2,508,5,nelson_simple,1,1,16,0.0312
cube,5,2,508,5,nelson_simple,2,1,16,0.0311
cube,5,2,508,5,nelson_simple,3,1,16,0.0309
cube,5,2,508,5,nelson_simple,4,1,16,0.0305
cube,5,2,508,5,par_parents,0,1,16,0.3134
cube,5,2,508,5,par_parents,1,1,16,0.2918
cube,5,2,508,5,par_parents,2,1,16,0.2891
cube,5,2,508,5,par_parents,3,1,16,0.2883
cube,5,2,508,5,par_parents,4,1,16,0.2828
cube,5,2,508,5,par_filter,0,1,16,0.0863
cube,5,2,508,5,par_filter,1,1,16,0.0815
cube,5,2,508,5,par_filter,2,1,16,0.0839
cube,5,2,508,5,par_filter,3,1,16,0.0819
cube,5,2,508,5,par_filter,4,1,16,0.0826
cube,5,2,508,5,par_parents,0,2,16,0.5198
cube,5,2,508,5,par_parents,1,2,16,0.5153
cube,5,2,508,5,par_parents,2,2,16,0.3673
cube,5,2,508,5,par_parents,3,2,16,0.3779
cube,5,2,508,5,par_parents,4,2,16,0.4451
cube,5,2,508,5,par_filter,0,2,16,0.0860
cube,5,2,508,5,par_filter,1,2,16,0.0852
cube,5,2,508,5,par_filter,2,2,16,0.0862
cube,5,2,508,5,par_filter,3,2,16,0.0842
cube,5,2,508,5,par_filter,4,2,16,0.0867
cube,5,2,508,5,par_parents,0,4,16,0.4441
cube,5,2,508,5,par_parents,1,4,16,0.3534
cube,5,2,508,5,par_parents,2,4,16,0.3061
cube,5,2,508,5,par_parents,3,4,16,0.4399
cube,5,2,508,5,par_parents,4,4,16,0.4373
cube,5,2,508,5,par_filter,0,4,16,0.0769
cube,5,2,508,5,par_filter,1,4,16,0.0779
cube,5,2,508,5,par_filter,2,4,16,0.0745
cube,5,2,508,5,par_filter,3,4,16,0.0749
cube,5,2,508,5,par_filter,4,4,16,0.0753
cube,5,2,508,5,par_parents,0,8,16,0.3242
cube,5,2,508,5,par_parents,1,8,16,0.3936
cube,5,2,508,5,par_parents,2,8,16,0.3133
cube,5,2,508,5,par_parents,3,8,16,0.3870
cube,5,2,508,5,par_parents,4,8,16,0.3269
cube,5,2,508,5,par_filter,0,8,16,0.0843
cube,5,2,508,5,par_filter,1,8,16,0.0807
cube,5,2,508,5,par_filter,2,8,16,0.0821
cube,5,2,508,5,par_filter,3,8,16,0.0811
cube,5,2,508,5,par_filter,4,8,16,0.0801
cube,5,2,508,5,par_parents,0,16,16,0.4842
cube,5,2,508,5,par_parents,1,16,16,0.3176
cube,5,2,508,5,par_parents,2,16,16,0.3327
cube,5,2,508,5,par_parents,3,16,16,0.3295
cube,5,2,508,5,par_parents,4,16,16,0.3248
cube,5,2,508,5,par_filter,0,16,16,0.0863
cube,5,2,508,5,par_filter,1,16,16,0.0836
cube,5,2,508,5,par_filter,2,16,16,0.0825
cube,5,2,508,5,par_filter,3,16,16,0.0844
cube,5,2,508,5,par_filter,4,16,16,0.0839
cube,5,2,508,5,par_parents,0,32,16,0.5647
cube,5,2,508,5,par_parents,1,32,16,0.3069
cube,5,2,508,5,par_parents,2,32,16,0.3176
cube,5,2,508,5,par_parents,3,32,16,0.3209
cube,5,2,508,5,par_parents,4,32,16,0.3513
cube,5,2,508,5,par_filter,0,32,16,0.0835
cube,5,2,508,5,par_filter,1,32,16,0.0821
cube,5,2,508,5,par_filter,2,32,16,0.0808
cube,5,2,508,5,par_filter,3,32,16,0.0818
cube,5,2,508,5,par_filter,4,32,16,0.0828
cube,5,2,508,5,par_parents,0,64,16,0.8984
cube,5,2,508,5,par_parents,1,64,16,0.5277
cube,5,2,508,5,par_parents,2,64,16,0.4018
cube,5,2,508,5,par_parents,3,64,16,0.4065
cube,5,2,508,5,par_parents,4,64,16,0.3869
cube,5,2,508,5,par_filter,0,64,16,0.1041
cube,5,2,508,5,par_filter,1,64,16,0.0964
cube,5,2,508,5,par_filter,2,64,16,0.0967
cube,5,2,508,5,par_filter,3,64,16,0.0974
cube,5,2,508,5,par_filter,4,64,16,0.0950
cube,5,2,508,5,par_parents,0,96,16,0.5818
cube,5,2,508,5,par_parents,1,96,16,0.7160
cube,5,2,508,5,par_parents,2,96,16,0.4864
cube,5,2,508,5,par_parents,3,96,16,0.4127
cube,5,2,508,5,par_parents,4,96,16,0.3908
cube,5,2,508,5,par_filter,0,96,16,0.1125
cube,5,2,508,5,par_filter,1,96,16,0.1048
cube,5,2,508,5,par_filter,2,96,16,0.1150
cube,5,2,508,5,par_filter,3,96,16,0.1050
cube,5,2,508,5,par_filter,4,96,16,0.0952
cube,5,2,508,5,par_parents,0,128,16,1.3300
cube,5,2,508,5,par_parents,1,128,16,0.7295
cube,5,2,508,5,par_parents,2,128,16,0.8441
cube,5,2,508,5,par_parents,3,128,16,0.5030
cube,5,2,508,5,par_parents,4,128,16,0.5120
cube,5,2,508,5,par_filter,0,128,16,0.1129
cube,5,2,508,5,par_filter,1,128,16,0.1046
cube,5,2,508,5,par_filter,2,128,16,0.1001
cube,5,2,508,5,par_filter,3,128,16,0.1188
cube,5,2,508,5,par_filter,4,128,16,0.1115
cube,5,2,508,5,par_parents,0,192,16,1.6677
cube,5,2,508,5,par_parents,1,192,16,1.1504
cube,5,2,508,5,par_parents,2,192,16,0.9526
cube,5,2,508,5,par_parents,3,192,16,0.5015
cube,5,2,508,5,par_parents,4,192,16,0.7261
cube,5,2,508,5,par_filter,0,192,16,0.1132
cube,5,2,508,5,par_filter,1,192,16,0.1062
cube,5,2,508,5,par_filter,2,192,16,0.1173
cube,5,2,508,5,par_filter,3,192,16,0.1170
cube,5,2,508,5,par_filter,4,192,16,0.1242
cube,30,2,108058,30,nelson_simple,0,1,16,16.3820
cube,30,2,108058,30,nelson_simple,1,1,16,15.9223
cube,30,2,108058,30,nelson_simple,2,1,16,15.9545
cube,30,2,108058,30,nelson_simple,3,1,16,17.3843
cube,30,2,108058,30,nelson_simple,4,1,16,16.2401
cube,30,2,108058,30,par_parents,0,1,16,75.9108
cube,30,2,108058,30,par_parents,1,1,16,76.7078
cube,30,2,108058,30,par_parents,2,1,16,76.9713
cube,30,2,108058,30,par_parents,3,1,16,78.0194
cube,30,2,108058,30,par_parents,4,1,16,78.7313
cube,30,2,108058,30,par_filter,0,1,16,25.6490
cube,30,2,108058,30,par_filter,1,1,16,25.6117
cube,30,2,108058,30,par_filter,2,1,16,25.7004
cube,30,2,108058,30,par_filter,3,1,16,25.5754
cube,30,2,108058,30,par_filter,4,1,16,25.7383
cube,30,2,108058,30,par_parents,0,2,16,58.6341
cube,30,2,108058,30,par_parents,1,2,16,58.0488
cube,30,2,108058,30,par_parents,2,2,16,59.3445
cube,30,2,108058,30,par_parents,3,2,16,60.9832
cube,30,2,108058,30,par_parents,4,2,16,60.9593
cube,30,2,108058,30,par_filter,0,2,16,19.4568
cube,30,2,108058,30,par_filter,1,2,16,19.3075
cube,30,2,108058,30,par_filter,2,2,16,19.2970
cube,30,2,108058,30,par_filter,3,2,16,19.4733
cube,30,2,108058,30,par_filter,4,2,16,18.7990
cube,30,2,108058,30,par_parents,0,4,16,39.9850
cube,30,2,108058,30,par_parents,1,4,16,39.4574
cube,30,2,108058,30,par_parents,2,4,16,40.3662
cube,30,2,108058,30,par_parents,3,4,16,39.7676
cube,30,2,108058,30,par_parents,4,4,16,38.6433
cube,30,2,108058,30,par_filter,0,4,16,14.6216
cube,30,2,108058,30,par_filter,1,4,16,14.0169
cube,30,2,108058,30,par_filter,2,4,16,14.0809
cube,30,2,108058,30,par_filter,3,4,16,14.3334
cube,30,2,108058,30,par_filter,4,4,16,15.0687
cube,30,2,108058,30,par_parents,0,8,16,24.4552
cube,30,2,108058,30,par_parents,1,8,16,25.3751
cube,30,2,108058,30,par_parents,2,8,16,25.9025
cube,30,2,108058,30,par_parents,3,8,16,25.2904
cube,30,2,108058,30,par_parents,4,8,16,25.8469
cube,30,2,108058,30,par_filter,0,8,16,10.3828
cube,30,2,108058,30,par_filter,1,8,16,10.7523
cube,30,2,108058,30,par_filter,2,8,16,10.1751
cube,30,2,108058,30,par_filter,3,8,16,10.2231
cube,30,2,108058,30,par_filter,4,8,16,10.0762
cube,30,2,108058,30,par_parents,0,16,16,16.8611
cube,30,2,108058,30,par_parents,1,16,16,16.0510
cube,30,2,108058,30,par_parents,2,16,16,15.7200
cube,30,2,108058,30,par_parents,3,16,16,16.3798
cube,30,2,108058,30,par_parents,4,16,16,15.8370
cube,30,2,108058,30,par_filter,0,16,16,7.4093
cube,30,2,108058,30,par_filter,1,16,16,7.2792
cube,30,2,108058,30,par_filter,2,16,16,7.6077
cube,30,2,108058,30,par_filter,3,16,16,7.4377
cube,30,2,108058,30,par_filter,4,16,16,7.5566
cube,30,2,108058,30,par_parents,0,32,16,12.5910
cube,30,2,108058,30,par_parents,1,32,16,12.5442
cube,30,2,108058,30,par_parents,2,32,16,12.3896
cube,30,2,108058,30,par_parents,3,32,16,12.5163
cube,30,2,108058,30,par_parents,4,32,16,12.4714
cube,30,2,108058,30,par_filter,0,32,16,6.5828
cube,30,2,108058,30,par_filter,1,32,16,6.4607
cube,30,2,108058,30,par_filter,2,32,16,6.4635
cube,30,2,108058,30,par_filter,3,32,16,6.5750
cube,30,2,108058,30,par_filter,4,32,16,6.4854
cube,30,2,108058,30,par_parents,0,64,16,13.9641
cube,30,2,108058,30,par_parents,1,64,16,13.2036
cube,30,2,108058,30,par_parents,2,64,16,13.2793
cube,30,2,108058,30,par_parents,3,64,16,13.2204
cube,30,2,108058,30,par_parents,4,64,16,13.4656
cube,30,2,108058,30,par_filter,0,64,16,6.8634
cube,30,2,108058,30,par_filter,1,64,16,6.8386
cube,30,2,108058,30,par_filter,2,64,16,6.8662
cube,30,2,108058,30,par_filter,3,64,16,6.8733
cube,30,2,108058,30,par_filter,4,64,16,7.1028
cube,30,2,108058,30,par_parents,0,96,16,13.1452
cube,30,2,108058,30,par_parents,1,96,16,12.2501
cube,30,2,108058,30,par_parents,2,96,16,12.2426
cube,30,2,108058,30,par_parents,3,96,16,12.2092
cube,30,2,108058,30,par_parents,4,96,16,12.1190
cube,30,2,108058,30,par_filter,0,96,16,6.3436
cube,30,2,108058,30,par_filter,1,96,16,6.3877
cube,30,2,108058,30,par_filter,2,96,16,6.4275
cube,30,2,108058,30,par_filter,3,96,16,6.5243
cube,30,2,108058,30,par_filter,4,96,16,6.4768
cube,30,2,108058,30,par_parents,0,128,16,14.0611
cube,30,2,108058,30,par_parents,1,128,16,13.4532
cube,30,2,108058,30,par_parents,2,128,16,13.1841
cube,30,2,108058,30,par_parents,3,128,16,13.3123
cube,30,2,108058,30,par_parents,4,128,16,12.9985
cube,30,2,108058,30,par_filter,0,128,16,7.0173
cube,30,2,108058,30,par_filter,1,128,16,6.9286
cube,30,2,108058,30,par_filter,2,128,16,6.8263
cube,30,2,108058,30,par_filter,3,128,16,7.0810
cube,30,2,108058,30,par_filter,4,128,16,6.9171
cube,30,2,108058,30,par_parents,0,192,16,13.7280
cube,30,2,108058,30,par_parents,1,192,16,13.8210
cube,30,2,108058,30,par_parents,2,192,16,13.4764
cube,30,2,108058,30,par_parents,3,192,16,12.9577
cube,30,2,108058,30,par_parents,4,192,16,13.1751
cube,30,2,108058,30,par_filter,0,192,16,6.5627
cube,30,2,108058,30,par_filter,1,192,16,6.5780
cube,30,2,108058,30,par_filter,2,192,16,6.6436
cube,30,2,108058,30,par_filter,3,192,16,6.6233
cube,30,2,108058,30,par_filter,4,192,16,6.6115
cube,55,2,665608,55,nelson_simple,0,1,16,117.7255
cube,55,2,665608,55,nelson_simple,1,1,16,119.9696
cube,55,2,665608,55,nelson_simple,2,1,16,121.7848
cube,55,2,665608,55,nelson_simple,3,1,16,119.4046
cube,55,2,665608,55,nelson_simple,4,1,16,118.6392
cube,55,2,665608,55,par_parents,0,1,16,446.1289
cube,55,2,665608,55,par_parents,1,1,16,447.9575
cube,55,2,665608,55,par_parents,2,1,16,447.3931
cube,55,2,665608,55,par_parents,3,1,16,443.9761
cube,55,2,665608,55,par_parents,4,1,16,447.7236
cube,55,2,665608,55,par_filter,0,1,16,175.2883
cube,55,2,665608,55,par_filter,1,1,16,175.2064
cube,55,2,665608,55,par_filter,2,1,16,175.0074
cube,55,2,665608,55,par_filter,3,1,16,175.4682
cube,55,2,665608,55,par_filter,4,1,16,175.4001
cube,55,2,665608,55,par_parents,0,2,16,263.1492
cube,55,2,665608,55,par_parents,1,2,16,257.4882
cube,55,2,665608,55,par_parents,2,2,16,256.5157
cube,55,2,665608,55,par_parents,3,2,16,258.0924
cube,55,2,665608,55,par_parents,4,2,16,258.9544
cube,55,2,665608,55,par_filter,0,2,16,95.3541
cube,55,2,665608,55,par_filter,1,2,16,95.6189
cube,55,2,665608,55,par_filter,2,2,16,95.6770
cube,55,2,665608,55,par_filter,3,2,16,95.8399
cube,55,2,665608,55,par_filter,4,2,16,95.1915
cube,55,2,665608,55,par_parents,0,4,16,160.8157
cube,55,2,665608,55,par_parents,1,4,16,160.1111
cube,55,2,665608,55,par_parents,2,4,16,160.3502
cube,55,2,665608,55,par_parents,3,4,16,163.8575
cube,55,2,665608,55,par_parents,4,4,16,163.7296
cube,55,2,665608,55,par_filter,0,4,16,61.5461
cube,55,2,665608,55,par_filter,1,4,16,61.9536
cube,55,2,665608,55,par_filter,2,4,16,61.7667
cube,55,2,665608,55,par_filter,3,4,16,61.1183
cube,55,2,665608,55,par_filter,4,4,16,61.6747
cube,55,2,665608,55,par_parents,0,8,16,101.9791
cube,55,2,665608,55,par_parents,1,8,16,101.8560
cube,55,2,665608,55,par_parents,2,8,16,100.2348
cube,55,2,665608,55,par_parents,3,8,16,100.8016
cube,55,2,665608,55,par_parents,4,8,16,100.5964
cube,55,2,665608,55,par_filter,0,8,16,38.5171
cube,55,2,665608,55,par_filter,1,8,16,38.4130
cube,55,2,665608,55,par_filter,2,8,16,39.2582
